# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
1935	comment	In this delicious Garden? as my Will											
1936	syllables	Concurd not to my being, it were but right	Con	curd	not	to	my	be ing,	it	were	but	right	
1936	stress	Concurd not to my being, it were but right	1	3	1	1	1	4	1	1	1	3	
1936	juncture	Concurd not to my being, it were but right	1	2	3	2	2	5	2	2	2	4	
1936	comment	Concurd not to my being, it were but right											
1937	syllables	And equal to reduce me to my dust,	And	e	qual	to	re	duce	me	to	my	dust,	
1937	stress	And equal to reduce me to my dust,	1	3	1	1	1	3	1	1	1	4	
1937	juncture	And equal to reduce me to my dust,	2	1	4	2	1	2	3	2	2	5	
1937	comment	And equal to reduce me to my dust,											
1938	syllables	Desirous to resigne, and render back	De	si	rous	to	re	signe,	and	ren	der	back	
1938	stress	Desirous to resigne, and render back	1	3	1	1	1	4	1	3	1	3	
1938	juncture	Desirous to resigne, and render back	1	1	3	2	1	5	2	1	3	4	
1938	comment	Desirous to resigne, and render back											
1939	syllables	All I receav'd, unable to performe	All	I	re	ceav'd,	un	a	ble	to	per	forme	
1939	stress	All I receav'd, unable to performe	2	1	1	4	1	3	1	1	1	3	
1939	juncture	All I receav'd, unable to performe	2	2	1	5	1	1	3	2	1	3	
1939	comment	All I receav'd, unable to performe											
1940	syllables	Thy terms too hard, by which I was to hold	Thy	terms	too	hard,	by	which	I	was	to	hold	
1940	stress	Thy terms too hard, by which I was to hold	1	3	1	4	1	1	1	1	1	3	
1940	juncture	Thy terms too hard, by which I was to hold	2	3	2	5	2	3	2	2	2	3	
1940	comment	Thy terms too hard, by which I was to hold											
1941	syllables	The good I sought not. To the loss of that,	The	good	I	sought	not.	To	the	loss	of	that,	
1941	stress	The good I sought not. To the loss of that,	1	3	1	4	1	1	1	3	1	4	
1941	juncture	The good I sought not. To the loss of that,	2	3	2	2	5	2	2	3	2	5	
1941	comment	The good I sought not. To the loss of that,											
1942	syllables	Sufficient penaltie, why hast thou added	Suf	fi	cient	pe	nal	tie,	why	hast	thou	ad	ded
1942	stress	Sufficient penaltie, why hast thou added	1	3	1	4	1	1	1	1	1	3	1
1942	juncture	Sufficient penaltie, why hast thou added	1	1	3	1	1	5	3	2	2	1	3
1942	comment	Sufficient penaltie, why hast thou added											
1943	syllables	The sense of endless woes? inexplicable	The	sense	of	end	less	woes?	in	ex	pli	ca	ble
1943	stress	The sense of endless woes? inexplicable	1	3	1	3	1	4	1	4	1	2	1
1943	juncture	The sense of endless woes? inexplicable	2	3	2	1	3	5	1	1	1	1	4
1943	comment	The sense of endless woes? inexplicable	inexplicable in Milton: hapax, phrase final, could be 13121, OED says second syllable stressed 										
1944	syllables	Thy Justice seems; yet to say truth, too late,	Thy	Jus	tice	seems;	yet	to	say	truth,	too	late,	
1944	stress	Thy Justice seems; yet to say truth, too late,	1	3	1	4	1	1	3	4	1	4	
1944	juncture	Thy Justice seems; yet to say truth, too late,	2	1	4	5	2	2	3	5	2	5	
1944	comment	Thy Justice seems; yet to say truth, too late,											
1945	syllables	I thus contest; then should have been refusd	I	thus	con	test;	then	should	have	been	re	fusd	
1945	stress	I thus contest; then should have been refusd	1	1	1	4	1	1	1	1	1	4	
1945	juncture	I thus contest; then should have been refusd	2	2	1	5	2	2	2	2	1	3	
1945	comment	I thus contest; then should have been refusd											
1946	syllables	Those terms whatever, when they were propos'd:	Those	terms	wha	te	ver,	when	they	were	pro	pos'd:	
1946	stress	Those terms whatever, when they were propos'd:	1	3	1	4	1	1	1	1	1	4	
1946	juncture	Those terms whatever, when they were propos'd:	2	3	1	1	5	2	2	2	1	5	
1946	comment	Those terms whatever, when they were propos'd:											
1947	syllables	Thou didst accept them; wilt thou enjoy the good,	Thou	didst	ac	cept	them;	wilt	thou en	joy	the	good,	
1947	stress	Thou didst accept them; wilt thou enjoy the good,	1	1	1	4	1	1	1	3	1	4	
1947	juncture	Thou didst accept them; wilt thou enjoy the good,	2	2	1	2	5	2	1	3	2	5	
1947	comment	Thou didst accept them; wilt thou enjoy the good,											
1948	syllables	Then cavil the conditions? and though God	Then	ca	vil	the	con	di	tions?	and	though	God	
1948	stress	Then cavil the conditions? and though God	1	3	1	1	1	4	1	1	1	3	
1948	juncture	Then cavil the conditions? and though God	2	1	3	2	1	1	5	2	2	4	
1948	comment	Then cavil the conditions? and though God											
1949	syllables	Made thee without thy leave, what if thy Son	Made	thee	wi	thout	thy	leave,	what	if	thy	Son	
1949	stress	Made thee without thy leave, what if thy Son	3	1	1	2	1	4	1	1	1	4	
1949	juncture	Made thee without thy leave, what if thy Son	2	3	1	2	2	5	2	2	2	4	
1949	comment	Made thee without thy leave, what if thy Son											
1950	syllables	Prove disobedient, and reprov'd, retort,	Prove	dis	o	be	di ent,	and	re	prov'd,	re	tort,	
1950	stress	Prove disobedient, and reprov'd, retort,	3	2	1	4	1	1	1	4	1	4	
1950	juncture	Prove disobedient, and reprov'd, retort,	3	1	1	1	5	2	1	5	1	5	
1950	comment	Prove disobedient, and reprov'd, retort,											
1951	syllables	Wherefore didst thou beget me? I sought it not	Where	fore	didst	thou	be	get	me? I	sought	it	not	
1951	stress	Wherefore didst thou beget me? I sought it not	3	2	1	1	1	4	1	4	1	1	
1951	juncture	Wherefore didst thou beget me? I sought it not	2	3	2	2	1	2	2	2	2	3	
1951	comment	Wherefore didst thou beget me? I sought it not											
1952	syllables	Wouldst thou admit for his contempt of thee	Wouldst	thou	ad	mit	for	his	con	tempt	of	thee	
1952	stress	Wouldst thou admit for his contempt of thee	1	1	1	3	1	1	1	3	1	1	
1952	juncture	Wouldst thou admit for his contempt of thee	2	2	1	3	2	2	1	3	2	4	
1952	comment	Wouldst thou admit for his contempt of thee											
1953	syllables	That proud excuse? yet him not thy election,	That	proud	ex	cuse?	yet	him	not	thy	e	lec	tion,
1953	stress	That proud excuse? yet him not thy election,	1	3	1	4	1	2	1	1	1	4	1
1953	juncture	That proud excuse? yet him not thy election,	2	3	1	5	2	3	2	2	1	1	5
1953	comment	That proud excuse? yet him not thy election,											
1954	syllables	But Natural necessity begot.	But	Na	tu	ral	ne	ces	si	ty	be	got.	
1954	stress	But Natural necessity begot.	1	3	1	1	1	3	1	1	1	4	
1954	juncture	But Natural necessity begot.	2	1	1	3	1	1	1	4	1	5	
1954	comment	But Natural necessity begot.											
1955	syllables	God made thee of choice his own, and of his own	God	made	thee of	choice	his	own,	and	of	his	own	
1955	stress	God made thee of choice his own, and of his own	3	3	1	3	1	4	1	1	1	4	
1955	juncture	God made thee of choice his own, and of his own	4	2	2	4	2	5	2	2	2	4	
1955	comment	God made thee of choice his own, and of his own											
1956	syllables	To serve him, thy reward was of his grace,	To	serve	him,	thy	re	ward	was	of	his	grace,	
1956	stress	To serve him, thy reward was of his grace,	1	4	1	1	1	3	1	1	1	4	
1956	juncture	To serve him, thy reward was of his grace,	2	2	5	2	1	4	2	2	2	5	
1956	comment	To serve him, thy reward was of his grace,											
1957	syllables	Thy punishment then justly is at his Will.	Thy	pu	nish	ment	then	just	ly is	at	his	Will.	
1957	stress	Thy punishment then justly is at his Will.	1	4	1	1	1	3	1	1	1	4	
1957	juncture	Thy punishment then justly is at his Will.	2	1	1	4	2	1	2	2	2	5	
1957	comment	Thy punishment then justly is at his Will.											
1958	syllables	Be it so, for I submit, his doom is fair,	Be it	so,	for	I	sub	mit,	his	doom	is	fair,	
1958	stress	Be it so, for I submit, his doom is fair,	1	4	1	1	1	4	1	3	1	4	
1958	juncture	Be it so, for I submit, his doom is fair,	2	5	2	2	1	5	2	4	2	5	
1958	comment	Be it so, for I submit, his doom is fair,											
1959	syllables	That dust I am, and shall to dust returne:	That	dust	I	am,	and	shall	to	dust	re	turne:	
1959	stress	That dust I am, and shall to dust returne:	1	3	1	4	1	1	1	3	1	4	
1959	juncture	That dust I am, and shall to dust returne:	2	4	2	5	2	2	2	4	1	5	
1959	comment	That dust I am, and shall to dust returne:											
1960	syllables	O welcom hour whenever! why delayes	O	wel	com	hour	when	e	ver!	why	de	layes	
1960	stress	O welcom hour whenever! why delayes	1	3	1	4	1	4	1	1	1	4	
1960	juncture	O welcom hour whenever! why delayes	2	1	3	4	1	1	5	3	1	3	
1960	comment	O welcom hour whenever! why delayes											
1961	syllables	His hand to execute what his Decree	His	hand	to	e	xe	cute	what	his	De	cree	
1961	stress	His hand to execute what his Decree	1	3	1	3	1	1	1	1	1	3	
1961	juncture	His hand to execute what his Decree	2	4	2	1	1	3	2	2	1	4	
1961	comment	His hand to execute what his Decree											
1962	syllables	Fixd on this day? why do I overlive,	Fixd	on	this	day?	why	do	I	o	ver	live,	
1962	stress	Fixd on this day? why do I overlive,	3	1	1	4	2	1	1	2	1	4	
1962	juncture	Fixd on this day? why do I overlive,	3	2	2	5	3	2	2	1	2	5	
1962	comment	Fixd on this day? why do I overlive,											
1963	syllables	Why am I mockt with death, and length'nd out	Why	am	I	mockt	with	death,	and	length'	nd	out	
1963	stress	Why am I mockt with death, and length'nd out	2	1	1	3	1	4	1	3	1	4	
1963	juncture	Why am I mockt with death, and length'nd out	2	2	2	3	2	5	2	1	2	3	
1963	comment	Why am I mockt with death, and length'nd out	particle verb										
1964	syllables	To deathless pain? how gladly would I meet	To	death	less	pain?	how	glad	ly	would	I	meet	
1964	stress	To deathless pain? how gladly would I meet	1	3	1	4	1	3	1	1	1	3	
1964	juncture	To deathless pain? how gladly would I meet	2	1	3	5	2	1	4	2	2	3	
1964	comment	To deathless pain? how gladly would I meet											
1965	syllables	Mortalitie my sentence, and be Earth	Mor	ta	li	tie	my	sen	tence,	and	be	Earth	
1965	stress	Mortalitie my sentence, and be Earth	1	3	1	1	1	4	1	1	1	3	
1965	juncture	Mortalitie my sentence, and be Earth	1	1	1	4	2	1	5	2	2	4	
1965	comment	Mortalitie my sentence, and be Earth											
1966	syllables	Insensible, how glad would lay me down	In	sen	si	ble,	how	glad	would	lay	me	down	
1966	stress	Insensible, how glad would lay me down	1	4	1	1	1	3	1	3	1	4	
1966	juncture	Insensible, how glad would lay me down	1	1	1	5	2	4	2	2	3	4	
1966	comment	Insensible, how glad would lay me down											
1967	syllables	As in my Mothers lap! There I should rest	As	in	my	Mo	thers	lap!	There	I	should	rest	
1967	stress	As in my Mothers lap! There I should rest	1	1	1	3	1	4	1	1	1	3	
1967	juncture	As in my Mothers lap! There I should rest	2	2	2	1	4	5	2	2	2	4	
1967	comment	As in my Mothers lap! There I should rest											
1968	syllables	And sleep secure; his dreadful voice no more	And	sleep	se	cure;	his	dread	ful	voice	no	more	
1968	stress	And sleep secure; his dreadful voice no more	1	3	1	4	1	3	1	4	1	3	
1968	juncture	And sleep secure; his dreadful voice no more	2	3	1	5	2	1	3	4	2	3	
1968	comment	And sleep secure; his dreadful voice no more											
1969	syllables	Would Thunder in my ears, no fear of worse	Would	Thun	der	in	my	ears,	no	fear	of	worse	
1969	stress	Would Thunder in my ears, no fear of worse	1	3	1	1	1	4	1	3	1	3	
1969	juncture	Would Thunder in my ears, no fear of worse	2	1	3	2	2	5	2	3	2	3	
1969	comment	Would Thunder in my ears, no fear of worse											
1970	syllables	To mee and to my ofspring would torment me	To	mee	and	to	my	of	spring	would	tor	ment	me
1970	stress	To mee and to my ofspring would torment me	1	2	1	1	1	3	2	1	1	4	1
1970	juncture	To mee and to my ofspring would torment me	2	4	2	2	2	2	4	2	1	2	3
1970	comment	To mee and to my ofspring would torment me	offspring/ofspring in Milton: 14 SW; 2 postpausal / torment (N?V) in Milton: as noun: 8 SW, 2 postpausal; as verb: 7 WS, 1 postpausal										
1971	syllables	With cruel expectation. Yet one doubt	With	cru	el	ex	pec	ta	tion.	Yet	one	doubt	
1971	stress	With cruel expectation. Yet one doubt	1	3	1	2	1	4	1	1	3	4	
1971	juncture	With cruel expectation. Yet one doubt	2	1	3	1	1	1	5	2	3	4	
1971	comment	With cruel expectation. Yet one doubt											
1972	syllables	Pursues me still, least all I cannot die,	Pur	sues	me	still,	least	all	I	can	not	die,	
1972	stress	Pursues me still, least all I cannot die,	1	3	1	4	2	2	1	2	1	4	
1972	juncture	Pursues me still, least all I cannot die,	1	2	3	5	2	2	2	1	2	5	
1972	comment	Pursues me still, least all I cannot die,	cannot in Milton: 21 SW. 1 WS, 7 postpausal; OED says SW. BH:  of the 21 SW, about 12 are Rhythm Rule; I get 2 WS.  Suggest stress always matching meter as conservative solution.										
1973	syllables	Least that pure breath of Life, the Spirit of Man	Least	that	pure	breath	of	Life,	the	Spi rit	of	Man	
1973	stress	Least that pure breath of Life, the Spirit of Man	2	1	3	3	1	4	1	3	1	4	
1973	juncture	Least that pure breath of Life, the Spirit of Man	2	2	3	3	2	5	2	3	2	4	
1973	comment	Least that pure breath of Life, the Spirit of Man											
1974	syllables	Which God inspir'd, cannot together perish	Which	God	ins	pir'd,	can	not	to	ge	ther	pe	rish
1974	stress	Which God inspir'd, cannot together perish	1	3	1	4	1	2	1	3	1	4	1
1974	juncture	Which God inspir'd, cannot together perish	2	4	1	5	1	3	1	1	3	1	3
1974	comment	Which God inspir'd, cannot together perish	cannot in Milton: 21 SW. 1 WS, 7 postpausal; OED says SW. BH:  of the 21 SW, about 12 are Rhythm Rule; I get 2 WS.  Suggest stress always matching meter as conservative solution.										
1975	syllables	With this corporeal Clod; then in the Grave,	With	this	cor	po	re al	Clod;	then	in	the	Grave,	
1975	stress	With this corporeal Clod; then in the Grave,	1	1	1	3	1	4	1	1	1	4	
1975	juncture	With this corporeal Clod; then in the Grave,	2	2	1	1	3	5	2	2	2	5	
1975	comment	With this corporeal Clod; then in the Grave,											
1976	syllables	Or in some other dismal place who knows	Or	in	some	o	ther	dis	mal	place	who	knows	
1976	stress	Or in some other dismal place who knows	1	1	1	3	1	3	1	3	1	3	
1976	juncture	Or in some other dismal place who knows	2	2	2	1	3	1	3	4	2	3	
1976	comment	Or in some other dismal place who knows											
1977	syllables	But I shall die a living Death? O thought	But	I	shall	die	a	li	ving	Death?	O	thought	
1977	stress	But I shall die a living Death? O thought	1	1	1	3	1	3	1	4	1	3	
1977	juncture	But I shall die a living Death? O thought	2	2	2	3	2	1	3	5	2	3	
1977	comment	But I shall die a living Death? O thought											
1978	syllables	Horrid, if true! yet why? it was but breath	Hor	rid,	if	true!	yet	why?	it	was	but	breath	
1978	stress	Horrid, if true! yet why? it was but breath	4	1	1	4	1	4	1	1	1	3	
1978	juncture	Horrid, if true! yet why? it was but breath	1	5	2	5	2	5	2	2	2	3	
1978	comment	Horrid, if true! yet why? it was but breath											
1979	syllables	Of Life that sinn'd; what dies but what had life	Of	Life	that	sinn'd;	what	dies	but	what	had	life	
1979	stress	Of Life that sinn'd; what dies but what had life	1	4	1	3	1	3	1	1	1	3	
1979	juncture	Of Life that sinn'd; what dies but what had life	2	4	2	5	2	4	2	2	2	4	
1979	comment	Of Life that sinn'd; what dies but what had life											
1980	syllables	And sin? the Bodie properly hath neither.	And	sin?	the	Bo	die	pro	per	ly	hath	nei	ther.
1980	stress	And sin? the Bodie properly hath neither.	1	4	1	3	1	3	1	1	1	4	1
1980	juncture	And sin? the Bodie properly hath neither.	2	5	2	1	4	1	1	3	2	1	5
1980	comment	And sin? the Bodie properly hath neither.											
1981	syllables	All of me then shall die: let this appease	All	of	me	then	shall	die:	let	this	ap	pease	
1981	stress	All of me then shall die: let this appease	4	1	1	1	1	3	3	1	1	3	
1981	juncture	All of me then shall die: let this appease	2	2	4	2	2	5	3	2	1	3	
1981	comment	All of me then shall die: let this appease											
1982	syllables	The doubt, since humane reach no further knows.	The	doubt,	since	hu	mane	reach	no	fur	ther	knows.	
1982	stress	The doubt, since humane reach no further knows.	1	4	1	3	1	4	1	3	1	4	
1982	juncture	The doubt, since humane reach no further knows.	2	5	2	1	3	4	2	1	4	5	
1982	comment	The doubt, since humane reach no further knows.	humane in Milton: when adjective: 3 WS; when noun or to mean "human": 3 SW (common alternate spelling for Milton's time)										
1983	syllables	For though the Lord of all be infinite,	For	though	the	Lord	of	all	be	in	fi	nite,	
1983	stress	For though the Lord of all be infinite,	1	1	1	3	1	3	1	4	1	1	
1983	juncture	For though the Lord of all be infinite,	2	2	2	3	2	4	2	1	1	5	
1983	comment	For though the Lord of all be infinite,											
1984	syllables	Is his wrauth also? be it, man is not so,	Is	his	wrauth	al	so?	be it,	man	is	not	so,	
1984	stress	Is his wrauth also? be it, man is not so,	1	1	3	4	1	3	4	1	1	2	
1984	juncture	Is his wrauth also? be it, man is not so,	2	2	4	1	5	5	4	2	2	5	
1984	comment	Is his wrauth also? be it, man is not so,											
1985	syllables	But mortal doom'd. How can he exercise	But	mor	tal	doom'd.	How	can	he	e	xer	cise	
1985	stress	But mortal doom'd. How can he exercise	1	3	1	4	2	1	1	3	1	1	
1985	juncture	But mortal doom'd. How can he exercise	2	1	4	5	2	2	2	1	1	3	
1985	comment	But mortal doom'd. How can he exercise	exercise in Milton: 6 clear cases of word initial stress; one dubious case										
1986	syllables	Wrath without end on Man whom Death must end?	Wrath	wi	thout	end	on	Man	whom	Death	must	end?	
1986	stress	Wrath without end on Man whom Death must end?	3	1	2	3	1	4	1	3	1	4	
1986	juncture	Wrath without end on Man whom Death must end?	3	1	2	4	2	3	2	4	2	5	
1986	comment	Wrath without end on Man whom Death must end?											
1987	syllables	Can he make deathless Death? that were to make	Can	he	make	death	less	Death?	that	were	to	make	
1987	stress	Can he make deathless Death? that were to make	1	1	3	4	1	4	2	1	1	3	
1987	juncture	Can he make deathless Death? that were to make	2	2	3	1	4	5	2	2	2	3	
1987	comment	Can he make deathless Death? that were to make											
1988	syllables	Strange contradiction, which to God himself	Strange	con	tra	dic	tion,	which	to	God	him	self	
1988	stress	Strange contradiction, which to God himself	3	2	1	4	1	1	1	3	1	4	
1988	juncture	Strange contradiction, which to God himself	3	1	1	1	5	2	2	3	1	4	
1988	comment	Strange contradiction, which to God himself											
1989	syllables	Impossible is held, as Argument	Im	pos	si	ble	is	held,	as	Ar	gu	ment	
1989	stress	Impossible is held, as Argument	1	3	1	1	1	4	1	3	1	1	
1989	juncture	Impossible is held, as Argument	1	1	1	4	2	5	2	1	1	3	
1989	comment	Impossible is held, as Argument											
1990	syllables	Of weakness, not of Power. Will he, draw out,	Of	weak	ness,	not	of	Po wer.	Will	he,	draw	out,	
1990	stress	Of weakness, not of Power. Will he, draw out,	1	4	1	2	1	4	1	3	3	4	
1990	juncture	Of weakness, not of Power. Will he, draw out,	2	1	5	2	2	5	2	2	2	5	
1990	comment	Of weakness, not of Power. Will he, draw out,	Particle verb										
1991	syllables	For angers sake, finite to infinite	For	an	gers	sake,	fi	nite	to	in	fi	nite	
1991	stress	For angers sake, finite to infinite	1	4	1	3	3	1	1	4	1	1	
1991	juncture	For angers sake, finite to infinite	2	1	4	5	1	4	2	1	1	4	
1991	comment	For angers sake, finite to infinite											
1992	syllables	In punisht man, to satisfie his rigour	In	pu	nisht	man,	to	sa	tis	fie	his	ri	gour
1992	stress	In punisht man, to satisfie his rigour	1	3	1	4	1	3	1	1	1	4	1
1992	juncture	In punisht man, to satisfie his rigour	2	1	3	5	2	1	1	3	2	1	4
1992	comment	In punisht man, to satisfie his rigour											
1993	syllables	Satisfi'd never; that were to extend	Sa	tis	fi'd	ne	ver;	that	were	to	ex	tend	
1993	stress	Satisfi'd never; that were to extend	3	1	1	4	1	2	1	1	1	3	
1993	juncture	Satisfi'd never; that were to extend	1	1	3	1	5	2	2	2	1	3	
1993	comment	Satisfi'd never; that were to extend											
1994	syllables	His Sentence beyond dust and Natures Law,	His	Sen	tence	be	yond	dust	and	Na	tures	Law,	
1994	stress	His Sentence beyond dust and Natures Law,	1	3	1	1	2	4	1	3	1	4	
1994	juncture	His Sentence beyond dust and Natures Law,	2	1	4	1	2	4	2	1	4	5	
1994	comment	His Sentence beyond dust and Natures Law,											
1995	syllables	By which all Causes else according still	By	which	all	Caus	es	else	ac	cor	ding	still	
1995	stress	By which all Causes else according still	1	1	1	3	1	4	1	3	1	4	
1995	juncture	By which all Causes else according still	2	2	2	1	3	4	1	1	3	3	
1995	comment	By which all Causes else according still											
1996	syllables	To the reception of thir matter act,	To	the	re	cep	tion	of	thir	mat	ter	act,	
1996	stress	To the reception of thir matter act,	1	1	1	3	1	1	1	3	1	4	
1996	juncture	To the reception of thir matter act,	2	2	1	1	3	2	2	1	4	5	
1996	comment	To the reception of thir matter act,											
1997	syllables	Not to th' extent of thir own Spheare. But say	Not	to	th' ex	tent	of	thir	own	Spheare.	But	say	
1997	stress	Not to th' extent of thir own Spheare. But say	2	1	1	3	1	1	3	4	1	3	
1997	juncture	Not to th' extent of thir own Spheare. But say	2	2	1	3	2	2	3	5	2	3	
1997	comment	Not to th' extent of thir own Spheare. But say											
1998	syllables	That Death be not one stroak, as I suppos'd,	That	Death	be	not	one	stroak,	as	I	sup	pos'd,	
1998	stress	That Death be not one stroak, as I suppos'd,	1	3	1	1	3	4	1	1	1	4	
1998	juncture	That Death be not one stroak, as I suppos'd,	2	4	2	2	3	5	2	2	1	5	
1998	comment	That Death be not one stroak, as I suppos'd,											
1999	syllables	Bereaving sense, but endless miserie	Be	rea	ving	sense,	but	end	less	mi	se	rie	
1999	stress	Bereaving sense, but endless miserie	1	3	1	4	1	3	1	4	1	1	
1999	juncture	Bereaving sense, but endless miserie	1	1	3	5	2	1	3	1	1	4	
1999	comment	Bereaving sense, but endless miserie											
2000	syllables	From this day onward, which I feel begun	From	this	day	on	ward,	which	I	feel	be	gun	
2000	stress	From this day onward, which I feel begun	1	2	3	4	1	1	1	3	1	4	
2000	juncture	From this day onward, which I feel begun	2	2	4	1	5	2	2	3	1	4	
2000	comment	From this day onward, which I feel begun											
2001	syllables	Both in me, and without me, and so last	Both	in	me,	and	wi	thout	me,	and	so	last	
2001	stress	Both in me, and without me, and so last	1	4	1	1	1	4	1	1	1	3	
2001	juncture	Both in me, and without me, and so last	2	2	5	2	1	2	5	2	2	3	
2001	comment	Both in me, and without me, and so last	contrast										
2002	syllables	To perpetuitie; Ay me, that fear	To	per	pe	tu	i	tie;	Ay	me,	that	fear	
2002	stress	To perpetuitie; Ay me, that fear	1	2	1	4	1	1	4	4	1	3	
2002	juncture	To perpetuitie; Ay me, that fear	2	1	1	1	1	5	2	5	2	3	
2002	comment	To perpetuitie; Ay me, that fear											
2003	syllables	Comes thundring back with dreadful revolution	Comes	thun	dring	back	with	dread	ful	re	vo	lu	tion
2003	stress	Comes thundring back with dreadful revolution	3	3	1	4	1	3	1	2	1	4	1
2003	juncture	Comes thundring back with dreadful revolution	3	1	3	4	2	1	3	1	1	1	4
2003	comment	Comes thundring back with dreadful revolution											
2004	syllables	On my defensless head; both Death and I	On	my	de	fens	less	head;	both	Death	and	I	
2004	stress	On my defensless head; both Death and I	1	1	1	3	1	4	1	3	1	4	
2004	juncture	On my defensless head; both Death and I	2	2	1	1	3	5	3	4	2	4	
2004	comment	On my defensless head; both Death and I											
2005	syllables	Am found Eternal, and incorporate both,	Am	found	E	ter	nal,	and	in	cor	po rate	both,	
2005	stress	Am found Eternal, and incorporate both,	1	3	1	4	1	1	1	3	1	4	
2005	juncture	Am found Eternal, and incorporate both,	2	3	1	1	5	2	1	1	4	5	
2005	comment	Am found Eternal, and incorporate both,											
2006	syllables	Nor I on my part single, in mee all	Nor	I	on	my	part	sin	gle,	in	mee	all	
2006	stress	Nor I on my part single, in mee all	1	1	1	3	2	4	1	1	3	2	
2006	juncture	Nor I on my part single, in mee all	2	2	2	2	4	1	5	2	4	2	
2006	comment	Nor I on my part single, in mee all											
2007	syllables	Posteritie stands curst: Fair Patrimonie	Pos	te	ri	tie	stands	curst:	Fair	Pa	tri	mo	nie
2007	stress	Posteritie stands curst: Fair Patrimonie	1	3	1	1	3	4	3	4	1	2	1
2007	juncture	Posteritie stands curst: Fair Patrimonie	1	1	1	4	3	5	3	1	1	1	4
2007	comment	Posteritie stands curst: Fair Patrimonie											
2008	syllables	That I must leave ye, Sons; O were I able	That	I	must	leave	ye,	Sons;	O	were	I	a	ble
2008	stress	That I must leave ye, Sons; O were I able	1	1	1	4	1	4	2	1	1	3	1
2008	juncture	That I must leave ye, Sons; O were I able	2	2	2	2	5	5	2	2	2	1	3
2008	comment	That I must leave ye, Sons; O were I able											
2009	syllables	To waste it all my self, and leave ye none!	To	waste	it	all	my	self,	and	leave	ye	none!	
2009	stress	To waste it all my self, and leave ye none!	1	3	1	2	1	4	1	3	1	4	
2009	juncture	To waste it all my self, and leave ye none!	2	2	3	4	2	5	2	2	3	5	
2009	comment	To waste it all my self, and leave ye none!											
2010	syllables	So disinherited how would ye bless	So	dis	in	he	ri	ted	how	would	ye	bless	
2010	stress	So disinherited how would ye bless	1	2	1	4	1	1	2	1	1	3	
2010	juncture	So disinherited how would ye bless	2	1	1	1	1	4	2	2	2	2	
2010	comment	So disinherited how would ye bless											
2011	syllables	Me now your curse! Ah, why should all mankind	Me	now	your	curse!	Ah,	why	should	all	man	kind	
2011	stress	Me now your curse! Ah, why should all mankind	1	3	1	4	3	2	1	1	2	3	
2011	juncture	Me now your curse! Ah, why should all mankind	3	3	2	5	5	3	2	2	2	4	
2011	comment	Me now your curse! Ah, why should all mankind	mankind in Milton: 28 WS; 11 SW (3 of them after postpausal Of); 4 postpausal; OED says either ok										
2012	syllables	For one mans fault thus guiltless be condemn'd,	For	one	mans	fault	thus	guilt	less	be	con	demn'd,	
2012	stress	For one mans fault thus guiltless be condemn'd,	1	3	2	4	1	3	1	1	1	4	
2012	juncture	For one mans fault thus guiltless be condemn'd,	2	3	4	4	2	1	4	2	1	5	
2012	comment	For one mans fault thus guiltless be condemn'd,	RR										
2013	syllables	If guiltless? But from mee what can proceed,	If	guilt	less?	But	from	mee	what	can	pro	ceed,	
2013	stress	If guiltless? But from mee what can proceed,	1	4	1	1	1	3	2	1	1	4	
2013	juncture	If guiltless? But from mee what can proceed,	2	1	5	2	2	4	2	2	1	5	
2013	comment	If guiltless? But from mee what can proceed,											
2014	syllables	But all corrupt, both Mind and Will deprav'd,	But	all	cor	rupt,	both	Mind	and	Will	de	prav'd,	
2014	stress	But all corrupt, both Mind and Will deprav'd,	1	2	1	4	1	3	1	3	1	4	
2014	juncture	But all corrupt, both Mind and Will deprav'd,	2	2	1	5	3	4	2	4	1	5	
2014	comment	But all corrupt, both Mind and Will deprav'd,											
2015	syllables	Not to do onely, but to will the same	Not	to	do	one	ly,	but	to	will	the	same	
2015	stress	Not to do onely, but to will the same	2	1	3	4	1	1	1	3	1	4	
2015	juncture	Not to do onely, but to will the same	2	2	3	1	5	2	2	3	2	4	
2015	comment	Not to do onely, but to will the same											
2016	syllables	With me? how can they then acquitted stand	With	me?	how	can	they	then	ac	quit	ted	stand	
2016	stress	With me? how can they then acquitted stand	1	1	1	1	1	1	1	4	1	3	
2016	juncture	With me? how can they then acquitted stand	2	5	2	2	2	2	1	1	4	4	
2016	comment	With me? how can they then acquitted stand											
2017	syllables	In sight of God? Him after all Disputes	In	sight	of	God?	Him	af	ter	all	Dis	putes	
2017	stress	In sight of God? Him after all Disputes	1	3	1	4	3	2	1	1	1	4	
2017	juncture	In sight of God? Him after all Disputes	2	3	2	5	4	1	2	2	1	4	
2017	comment	In sight of God? Him after all Disputes											
2018	syllables	Forc't I absolve: all my evasions vain	Forc't	I	ab	solve:	all	my	e	va	sions	vain	
2018	stress	Forc't I absolve: all my evasions vain	3	1	1	4	2	1	1	3	1	4	
2018	juncture	Forc't I absolve: all my evasions vain	4	2	1	5	2	2	1	1	4	4	
2018	comment	Forc't I absolve: all my evasions vain											
