# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
1816	juncture	I grant I never saw a goddess go%	2	3	2	1	3	3	2	1	3	5	
1816	comment	I grant I never saw a goddess go%											
1817	syllables	My mistress, when she walks, treads on the ground:	My	mis	tress,	when	she	walks,	treads	on	the	ground:	
1817	stress	My mistress, when she walks, treads on the ground:	1	4	1	1	1	4	3	1	1	4	
1817	juncture	My mistress, when she walks, treads on the ground:	2	1	4	2	2	5	3	2	2	5	
1817	comment	My mistress, when she walks, treads on the ground:											
1818	syllables	And yet by heaven, I think my love as rare,	And	yet	by	hea ven,	I	think	my	love	as	rare,	
1818	stress	And yet by heaven, I think my love as rare,	1	1	1	4	1	3	1	3	1	4	
1818	juncture	And yet by heaven, I think my love as rare,	2	2	2	4	2	3	2	4	2	5	
1818	comment	And yet by heaven, I think my love as rare,											
1819	syllables	As any she belied with false compare.	As	a	ny	she	be	lied	with	FALSE	com	pare.	
1819	stress	As any she belied with false compare.	1	3	1	1	1	3	1	3	1	4	
1819	juncture	As any she belied with false compare.	2	1	3	2	1	3	2	3	1	5	
1819	comment	As any she belied with false compare.											
1820	syllables	Thou art as tyrannous, so as thou art,	Thou	art	as	ty	ran	nous,	so	as	thou	art,	
1820	stress	Thou art as tyrannous, so as thou art,	1	1	1	4	1	1	1	1	1	4	
1820	juncture	Thou art as tyrannous, so as thou art,	2	2	2	1	1	5	2	2	2	5	
1820	comment	Thou art as tyrannous, so as thou art,	poem initial										
1821	syllables	As those whose beauties proudly make them cruel;	As	those	whose	beau	ties	proud	ly	make	them	cru	el;
1821	stress	As those whose beauties proudly make them cruel;	1	1	1	3	1	3	1	3	1	4	1
1821	juncture	As those whose beauties proudly make them cruel;	2	2	2	1	4	1	3	2	3	1	5
1821	comment	As those whose beauties proudly make them cruel;											
1822	syllables	For well thou know'st to my dear doting heart	For	well	thou	know'st	to	my	dear	do	ting	heart	
1822	stress	For well thou know'st to my dear doting heart	1	3	1	3	1	1	3	3	1	4	
1822	juncture	For well thou know'st to my dear doting heart	2	3	2	3	2	2	3	1	3	4	
1822	comment	For well thou know'st to my dear doting heart											
1823	syllables	Thou art the fairest and most precious jewel.	Thou	art	the	fai	rest	and	most	pre	cious	je	wel.
1823	stress	Thou art the fairest and most precious jewel.	1	1	1	3	1	1	1	3	1	4	1
1823	juncture	Thou art the fairest and most precious jewel.	2	2	2	1	3	2	2	1	3	1	5
1823	comment	Thou art the fairest and most precious jewel.											
1824	syllables	Yet, in good faith, some say that thee behold,	Yet,	in	good	faith,	some	say	that	thee	be	hold,	
1824	stress	Yet, in good faith, some say that thee behold,	1	1	3	4	3	3	1	1	1	4	
1824	juncture	Yet, in good faith, some say that thee behold,	2	2	3	5	4	4	2	3	1	5	
1824	comment	Yet, in good faith, some say that thee behold,											
1825	syllables	Thy face hath not the power to make love groan;	Thy	face	hath	not	the	po wer	to	make	love	groan;	
1825	stress	Thy face hath not the power to make love groan;	1	3	1	1	1	3	1	3	3	4	
1825	juncture	Thy face hath not the power to make love groan;	2	4	2	2	2	3	2	3	4	5	
1825	comment	Thy face hath not the power to make love groan;											
1826	syllables	To say they err I dare not be so bold,	To	say	they	err	I	dare	not	be	so	bold,	
1826	stress	To say they err I dare not be so bold,	1	3	1	4	1	3	1	1	1	4	
1826	juncture	To say they err I dare not be so bold,	2	3	2	4	2	2	3	2	2	5	
1826	comment	To say they err I dare not be so bold,											
1827	syllables	Although I swear it to myself alone.	Al	though	I	swear	it	to	my-	self	a	lone.	
1827	stress	Although I swear it to myself alone.	1	3	1	3	1	1	1	3	1	4	
1827	juncture	Although I swear it to myself alone.	1	3	2	2	3	2	2	4	1	5	
1827	comment	Although I swear it to myself alone.											
1828	syllables	And to be sure that is not false I swear,	And	to	be	sure	that	is	not	FALSE	I	swear,	
1828	stress	And to be sure that is not false I swear,	1	1	1	3	1	1	1	3	1	4	
1828	juncture	And to be sure that is not false I swear,	2	2	2	4	2	2	2	4	2	5	
1828	comment	And to be sure that is not false I swear,											
1829	syllables	A thousand groans, but thinking on thy face,	A	thou	sand	groans,	but	thin	king	on	thy	face,	
1829	stress	A thousand groans, but thinking on thy face,	1	3	1	4	1	3	1	1	1	4	
1829	juncture	A thousand groans, but thinking on thy face,	2	1	3	4	2	1	3	2	2	5	
1829	comment	A thousand groans, but thinking on thy face,											
1830	syllables	One on another's neck, do witness bear	One	on	a	no	ther's	neck,	do	wit	ness	bear	
1830	stress	One on another's neck, do witness bear	2	1	1	3	1	4	1	4	1	3	
1830	juncture	One on another's neck, do witness bear	2	2	1	1	4	4	2	1	4	3	
1830	comment	One on another's neck, do witness bear											
1831	syllables	Thy black is fairest in my judgment's place.	Thy	black	is	fai	rest	in	my	judg	ment's	place.	
1831	stress	Thy black is fairest in my judgment's place.	1	3	1	4	1	1	1	3	1	4	
1831	juncture	Thy black is fairest in my judgment's place.	2	4	2	1	4	2	2	1	4	5	
1831	comment	Thy black is fairest in my judgment's place.											
1832	syllables	In nothing art thou black save in thy deeds,	In	no	thing	art	thou	black	save	in	thy	deeds,	
1832	stress	In nothing art thou black save in thy deeds,	1	3	1	1	1	3	3	1	1	4	
1832	juncture	In nothing art thou black save in thy deeds,	2	1	4	2	2	4	3	2	2	5	
1832	comment	In nothing art thou black save in thy deeds,											
1833	syllables	And thence this slander, as I think, proceeds.	And	thence	this	slan	der,	as	I	think,	pro	ceeds.	
1833	stress	And thence this slander, as I think, proceeds.	1	3	1	4	1	1	1	4	1	4	
1833	juncture	And thence this slander, as I think, proceeds.	2	3	2	1	5	2	2	5	1	5	
1833	comment	And thence this slander, as I think, proceeds.											
1834	syllables	Thine eyes I love, and they, as pitying me,	Thine	eyes	I	love,	and	they,	as	pit	y ing	me,	
1834	stress	Thine eyes I love, and they, as pitying me,	1	3	1	4	1	4	1	3	1	1	
1834	juncture	Thine eyes I love, and they, as pitying me,	2	4	2	5	2	4	2	1	2	5	
1834	comment	Thine eyes I love, and they, as pitying me,	poem initial										
1835	syllables	Knowing thy heart torment me with disdain,	Kno	wing	thy	heart	tor	ment	me	with	dis	dain,	
1835	stress	Knowing thy heart torment me with disdain,	3	1	1	3	1	3	1	1	1	4	
1835	juncture	Knowing thy heart torment me with disdain,	1	3	2	4	1	2	3	2	1	5	
1835	comment	Knowing thy heart torment me with disdain,	Torment as verb in Shakespeare:  2 postbreak, 4 prose, 7 WS, so clearly final stress.										
1836	syllables	Have put on black and loving mourners be,	Have	put	on	black	and	lo	ving	mour	ners	be,	
1836	stress	Have put on black and loving mourners be,	1	3	2	4	1	3	1	4	1	1	
1836	juncture	Have put on black and loving mourners be,	2	2	3	4	2	1	3	1	4	5	
1836	comment	Have put on black and loving mourners be,	RR										
1837	syllables	Looking with pretty ruth upon my pain.	Loo	king	with	pret	ty	ruth	u	pon	my	pain.	
1837	stress	Looking with pretty ruth upon my pain.	3	1	1	3	1	4	1	2	1	4	
1837	juncture	Looking with pretty ruth upon my pain.	1	3	2	1	3	4	1	2	2	5	
1837	comment	Looking with pretty ruth upon my pain.											
1838	syllables	And truly not the morning sun of heaven	And	tru	ly	not	the	mor	ning	sun	of	hea ven	
1838	stress	And truly not the morning sun of heaven	1	3	1	1	1	3	1	3	1	4	
1838	juncture	And truly not the morning sun of heaven	2	1	3	2	2	1	3	3	2	4	
1838	comment	And truly not the morning sun of heaven											
1839	syllables	Better becomes the grey cheeks of the east,	Bet	ter	be	comes	the	grey	cheeks	of	the	east,	
1839	stress	Better becomes the grey cheeks of the east,	3	1	1	3	1	3	4	1	1	4	
1839	juncture	Better becomes the grey cheeks of the east,	1	3	1	3	2	3	3	2	2	5	
1839	comment	Better becomes the grey cheeks of the east,											
1840	syllables	Nor that full star that ushers in the even,	Nor	that	full	star	that	us	hers	in	the	e ven,	
1840	stress	Nor that full star that ushers in the even,	1	1	3	4	1	3	1	1	1	4	
1840	juncture	Nor that full star that ushers in the even,	2	2	3	3	2	1	3	2	2	5	
1840	comment	Nor that full star that ushers in the even,											
1841	syllables	Doth half that glory to the sober west,	Doth	half	that	glo	ry	to	the	so	ber	west,	
1841	stress	Doth half that glory to the sober west,	1	3	1	4	1	1	1	3	1	4	
1841	juncture	Doth half that glory to the sober west,	2	3	2	1	4	2	2	1	3	5	
1841	comment	Doth half that glory to the sober west,											
1842	syllables	As those two mourning eyes become thy face:	As	those	two	mour	ning	eyes	be	come	thy	face:	
1842	stress	As those two mourning eyes become thy face:	1	1	3	3	1	4	1	3	1	4	
1842	juncture	As those two mourning eyes become thy face:	2	2	3	1	3	4	1	3	2	5	
1842	comment	As those two mourning eyes become thy face:											
1843	syllables	O! let it then as well beseem thy heart	O!	let	it	then	as	well	be	seem	thy	heart	
1843	stress	O! let it then as well beseem thy heart	1	3	1	1	1	3	1	3	1	4	
1843	juncture	O! let it then as well beseem thy heart	2	2	3	2	2	4	1	3	2	4	
1843	comment	O! let it then as well beseem thy heart											
1844	syllables	To mourn for me since mourning doth thee grace,	To	mourn	for	me	since	mour	ning	doth	thee	grace,	
1844	stress	To mourn for me since mourning doth thee grace,	1	3	1	1	1	3	1	1	1	4	
1844	juncture	To mourn for me since mourning doth thee grace,	2	3	2	4	2	1	4	2	3	5	
1844	comment	To mourn for me since mourning doth thee grace,											
1845	syllables	And suit thy pity like in every part.	And	suit	thy	pi	ty	like	in	e	very	part.	
1845	stress	And suit thy pity like in every part.	1	3	1	4	1	1	1	2	1	4	
1845	juncture	And suit thy pity like in every part.	2	3	2	1	4	2	2	1	2	5	
1845	comment	And suit thy pity like in every part.											
1846	syllables	Then will I swear beauty herself is black,	Then	will	I	swear	beau	ty	her-	self	is	black,	
1846	stress	Then will I swear beauty herself is black,	1	1	1	4	3	1	1	3	1	4	
1846	juncture	Then will I swear beauty herself is black,	2	2	2	4	1	3	2	4	2	5	
1846	comment	Then will I swear beauty herself is black,											
1847	syllables	And all they foul that thy complexion lack.	And	all	they	foul	that	thy	com	ple	xion	lack.	
1847	stress	And all they foul that thy complexion lack.	1	2	1	3	1	1	1	3	1	4	
1847	juncture	And all they foul that thy complexion lack.	2	2	4	4	2	2	1	1	4	5	
1847	comment	And all they foul that thy complexion lack.											
1848	syllables	Beshrew that heart that makes my heart to groan	Besh	rew	that	heart	that	makes	my	heart	to	groan	
1848	stress	Beshrew that heart that makes my heart to groan	1	3	1	4	1	3	1	3	1	3	
1848	juncture	Beshrew that heart that makes my heart to groan	1	3	2	3	2	3	2	4	2	3	
1848	comment	Beshrew that heart that makes my heart to groan	poem initial										
1849	syllables	For that deep wound it gives my friend and me!	For	that	deep	wound	it	gives	my	friend	and	me!	
1849	stress	For that deep wound it gives my friend and me!	1	1	3	4	1	3	1	3	1	4	
1849	juncture	For that deep wound it gives my friend and me!	2	2	3	4	2	3	2	4	2	5	
1849	comment	For that deep wound it gives my friend and me!											
1850	syllables	Is't not enough to torture me alone,	Is't	not	e	nough	to	tor	ture	me	a	lone,	
1850	stress	Is't not enough to torture me alone,	1	1	1	3	1	3	1	3	1	4	
1850	juncture	Is't not enough to torture me alone,	2	2	1	4	2	1	2	3	1	5	
1850	comment	Is't not enough to torture me alone,											
1851	syllables	But slave to slavery my sweet'st friend must be?	But	slave	to	sla	very	my	sweet'st	friend	must	be?	
1851	stress	But slave to slavery my sweet'st friend must be?	1	3	1	3	1	1	3	4	1	1	
1851	juncture	But slave to slavery my sweet'st friend must be?	2	3	2	1	4	2	3	4	2	5	
1851	comment	But slave to slavery my sweet'st friend must be?											
1852	syllables	Me from myself thy cruel eye hath taken,	Me	from	my-	self	thy	cru	el	eye	hath	ta	ken,
1852	stress	Me from myself thy cruel eye hath taken,	1	1	1	3	1	3	1	3	1	4	1
1852	juncture	Me from myself thy cruel eye hath taken,	4	2	2	4	2	1	3	4	2	1	5
1852	comment	Me from myself thy cruel eye hath taken,											
1853	syllables	And my next self thou harder hast engross'd:	And	my	next	self	thou	har	der	hast	en	gross'd:	
1853	stress	And my next self thou harder hast engross'd:	1	1	4	3	1	3	1	1	1	4	
1853	juncture	And my next self thou harder hast engross'd:	2	2	3	4	2	1	3	2	1	5	
1853	comment	And my next self thou harder hast engross'd:	contrastive stress										
1854	syllables	Of him, myself, and thee I am forsaken;	Of	him,	my-	self,	and	thee	I	am	for	sa	ken;
1854	stress	Of him, myself, and thee I am forsaken;	1	4	1	4	1	4	1	1	1	4	1
1854	juncture	Of him, myself, and thee I am forsaken;	2	5	2	5	2	4	2	2	1	1	5
1854	comment	Of him, myself, and thee I am forsaken;											
1855	syllables	A torment thrice three-fold thus to be cross'd:	A	tor	ment	thrice	three-	fold	thus	to	be	cross'd:	
1855	stress	A torment thrice three-fold thus to be cross'd:	1	3	1	3	3	4	3	1	1	4	
1855	juncture	A torment thrice three-fold thus to be cross'd:	2	1	4	3	2	4	2	2	2	5	
1855	comment	A torment thrice three-fold thus to be cross'd:											
1856	syllables	Prison my heart in thy steel bosom's ward,	Pri	son	my	heart	in	thy	steel	bo	som's	ward,	
1856	stress	Prison my heart in thy steel bosom's ward,	3	1	1	3	1	1	3	4	1	4	
1856	juncture	Prison my heart in thy steel bosom's ward,	1	3	2	4	2	2	3	1	4	5	
1856	comment	Prison my heart in thy steel bosom's ward,											
1857	syllables	But then my friend's heart let my poor heart bail;	But	then	my	friend's	heart	let	my	poor	heart	bail;	
1857	stress	But then my friend's heart let my poor heart bail;	1	1	1	4	3	3	1	3	3	4	
1857	juncture	But then my friend's heart let my poor heart bail;	2	2	2	4	4	3	2	3	4	5	
1857	comment	But then my friend's heart let my poor heart bail;											
1858	syllables	Whoe'er keeps me, let my heart be his guard;	Who	e'er	keeps	me,	let	my	heart	be	his	guard;	
1858	stress	Whoe'er keeps me, let my heart be his guard;	1	3	3	4	3	4	3	1	1	4	
1858	juncture	Whoe'er keeps me, let my heart be his guard;	1	3	2	5	3	2	4	2	2	5	
1858	comment	Whoe'er keeps me, let my heart be his guard;	I'm assuming contrastive stress, else it would be a double metrical violation										
1859	syllables	Thou canst not then use rigour in my jail:	Thou	canst	not	then	use	ri	gour	in	my	jail:	
1859	stress	Thou canst not then use rigour in my jail:	1	1	1	1	3	4	1	1	1	4	
1859	juncture	Thou canst not then use rigour in my jail:	2	2	2	2	3	1	4	2	2	5	
1859	comment	Thou canst not then use rigour in my jail:											
1860	syllables	And yet thou wilt; for I, being pent in thee,	And	yet	thou	wilt;	for	I,	be ing	pent	in	thee,	
1860	stress	And yet thou wilt; for I, being pent in thee,	1	1	1	4	1	4	2	3	1	1	
1860	juncture	And yet thou wilt; for I, being pent in thee,	2	2	2	5	2	2	2	3	2	5	
1860	comment	And yet thou wilt; for I, being pent in thee,											
1861	syllables	Perforce am thine, and all that is in me.	Per	force	am	thine,	and	all	that	is	in	me.	
1861	stress	Perforce am thine, and all that is in me.	1	3	1	4	1	2	1	1	1	4	
1861	juncture	Perforce am thine, and all that is in me.	1	3	2	5	2	2	2	2	2	5	
1861	comment	Perforce am thine, and all that is in me.											
1862	syllables	So, now I have confess'd that he is thine,	So,	now	I	have	con	fess'd	that	he	is	thine,	
1862	stress	So, now I have confess'd that he is thine,	1	3	1	1	1	3	1	1	1	4	
1862	juncture	So, now I have confess'd that he is thine,	2	3	2	2	1	3	2	2	2	5	
1862	comment	So, now I have confess'd that he is thine,	poem initial										
1863	syllables	And I my self am mortgag'd to thy will,	And	I	my	self	am	mort	gag'd	to	thy	will,	
1863	stress	And I my self am mortgag'd to thy will,	1	1	1	3	1	3	1	1	1	4	
1863	juncture	And I my self am mortgag'd to thy will,	2	2	2	4	2	1	3	2	2	5	
1863	comment	And I my self am mortgag'd to thy will,											
1864	syllables	Myself I'll forfeit, so that other mine	My-	self	I'll	for	feit,	so	that	o	ther	mine	
1864	stress	Myself I'll forfeit, so that other mine	1	3	1	4	1	1	1	4	1	2	
1864	juncture	Myself I'll forfeit, so that other mine	2	4	2	1	5	2	2	1	3	4	
1864	comment	Myself I'll forfeit, so that other mine											
1865	syllables	Thou wilt restore to be my comfort still:	Thou	wilt	res	tore	to	be	my	com	fort	still:	
1865	stress	Thou wilt restore to be my comfort still:	1	1	1	3	1	1	1	3	1	4	
1865	juncture	Thou wilt restore to be my comfort still:	2	2	1	3	2	2	2	1	4	5	
1865	comment	Thou wilt restore to be my comfort still:											
1866	syllables	But thou wilt not, nor he will not be free,	But	thou	wilt	not,	nor	he	will	not	be	free,	
1866	stress	But thou wilt not, nor he will not be free,	1	1	4	1	1	2	1	1	1	4	
1866	juncture	But thou wilt not, nor he will not be free,	2	2	2	5	2	2	2	2	2	5	
1866	comment	But thou wilt not, nor he will not be free,	Pre-break wilt not in Shakespeare:  2 WS, 1 SW (plus 10 RR, 7 prose)										
1867	syllables	For thou art covetous, and he is kind;	For	thou	art	co	ve	tous,	and	he	is	kind;	
1867	stress	For thou art covetous, and he is kind;	1	1	1	4	1	1	1	1	1	4	
1867	juncture	For thou art covetous, and he is kind;	2	2	2	1	1	5	2	2	2	5	
1867	comment	For thou art covetous, and he is kind;											
1868	syllables	He learn'd but surety-like to write for me,	He	learn'd	but	sure	ty-	like	to	write	for	me,	
1868	stress	He learn'd but surety-like to write for me,	1	3	1	3	1	2	1	4	1	1	
1868	juncture	He learn'd but surety-like to write for me,	2	3	2	1	2	4	2	3	2	5	
1868	comment	He learn'd but surety-like to write for me,											
1869	syllables	Under that bond that him as fast doth bind.	Un	der	that	bond	that	him	as	fast	doth	bind.	
1869	stress	Under that bond that him as fast doth bind.	2	1	1	4	1	1	1	3	1	4	
1869	juncture	Under that bond that him as fast doth bind.	1	2	2	3	2	3	2	4	2	5	
1869	comment	Under that bond that him as fast doth bind.											
1870	syllables	The statute of thy beauty thou wilt take,	The	sta	tute	of	thy	beau	ty	thou	wilt	take,	
1870	stress	The statute of thy beauty thou wilt take,	1	3	1	1	1	4	1	1	1	4	
1870	juncture	The statute of thy beauty thou wilt take,	2	1	3	2	2	1	4	2	2	5	
1870	comment	The statute of thy beauty thou wilt take,											
1871	syllables	Thou usurer, that putt'st forth all to use,	Thou	u	su	rer,	that	putt'st	forth	all	to	use,	
1871	stress	Thou usurer, that putt'st forth all to use,	1	4	1	1	1	3	3	4	1	4	
1871	juncture	Thou usurer, that putt'st forth all to use,	2	1	1	4	2	2	3	4	2	5	
1871	comment	Thou usurer, that putt'st forth all to use,											
1872	syllables	And sue a friend came debtor for my sake;	And	sue	a	friend	came	deb	tor	for	my	sake;	
1872	stress	And sue a friend came debtor for my sake;	1	3	1	4	3	4	1	1	1	4	
1872	juncture	And sue a friend came debtor for my sake;	2	3	2	4	3	1	4	2	2	5	
1872	comment	And sue a friend came debtor for my sake;	Pronoun plus sake (sample):  Shakespeare has 29 WS, 5 SW, 10 prose, 1 contrast on pronoun.										
1873	syllables	So him I lose through my unkind abuse.	So	him	I	lose	through	my	un	kind	a	buse.	
1873	stress	So him I lose through my unkind abuse.	1	2	1	4	1	1	1	3	1	4	
1873	juncture	So him I lose through my unkind abuse.	2	4	2	4	2	2	1	3	1	5	
1873	comment	So him I lose through my unkind abuse.											
1874	syllables	Him have I lost; thou hast both him and me:	Him	have	I	lost;	thou	hast	both	him	and	me:	
1874	stress	Him have I lost; thou hast both him and me:	3	1	1	4	3	1	1	3	1	4	
1874	juncture	Him have I lost; thou hast both him and me:	4	2	2	5	4	2	2	4	2	5	
1874	comment	Him have I lost; thou hast both him and me:											
1875	syllables	He pays the whole, and yet am I not free.	He	pays	the	whole,	and	yet	am	I	not	free.	
1875	stress	He pays the whole, and yet am I not free.	1	3	1	4	1	2	1	1	1	4	
1875	juncture	He pays the whole, and yet am I not free.	2	3	2	5	2	2	2	2	2	5	
1875	comment	He pays the whole, and yet am I not free.											
1876	syllables	Whoever hath her wish, thou hast thy 'Will,'	Who-	e	ver	hath	her	wish,	thou	hast	thy	'Will',	
1876	stress	Whoever hath her wish, thou hast thy 'Will,'	1	3	1	1	1	4	1	2	1	4	
1876	juncture	Whoever hath her wish, thou hast thy 'Will,'	2	1	3	2	2	5	2	2	2	5	
1876	comment	Whoever hath her wish, thou hast thy 'Will,'	poem initial										
1877	syllables	And 'Will' to boot, and 'Will' in over-plus;	And	'Will'	to	boot,	and	'Will'	in	o	ver-	plus;	
1877	stress	And 'Will' to boot, and 'Will' in over-plus;	1	3	1	4	1	3	1	2	1	4	
1877	juncture	And 'Will' to boot, and 'Will' in over-plus;	2	3	2	5	2	3	2	1	2	5	
1877	comment	And 'Will' to boot, and 'Will' in over-plus;											
1878	syllables	More than enough am I that vex'd thee still,	More	than	e	nough	am	I	that	vex'd	thee	still,	
1878	stress	More than enough am I that vex'd thee still,	2	1	1	3	1	1	1	3	1	4	
1878	juncture	More than enough am I that vex'd thee still,	2	2	1	4	2	2	2	2	3	5	
1878	comment	More than enough am I that vex'd thee still,											
1879	syllables	To thy sweet will making addition thus.	To	thy	sweet	will	ma	king	ad	di	tion	thus.	
1879	stress	To thy sweet will making addition thus.	1	1	3	4	3	1	1	4	1	2	
1879	juncture	To thy sweet will making addition thus.	2	2	3	4	1	3	1	1	4	5	
1879	comment	To thy sweet will making addition thus.											
1880	syllables	Wilt thou, whose will is large and spacious,	Wilt	thou,	whose	will	is	large	and	spa	ci	ous,	
1880	stress	Wilt thou, whose will is large and spacious,	1	4	1	3	1	3	1	4	1	1	
1880	juncture	Wilt thou, whose will is large and spacious,	2	3	2	4	2	4	2	1	1	5	
1880	comment	Wilt thou, whose will is large and spacious,											
1881	syllables	Not once vouchsafe to hide my will in thine?	Not	once	vouch-	safe	to	hide	my	will	in	thine?	
1881	stress	Not once vouchsafe to hide my will in thine?	1	1	2	3	1	3	1	3	1	4	
1881	juncture	Not once vouchsafe to hide my will in thine?	2	2	2	3	2	3	2	4	2	5	
1881	comment	Not once vouchsafe to hide my will in thine?											
1882	syllables	Shall will in others seem right gracious,	Shall	will	in	o	thers	seem	right	gra	ci	ous,	
1882	stress	Shall will in others seem right gracious,	1	3	1	4	1	3	2	4	1	1	
1882	juncture	Shall will in others seem right gracious,	2	4	2	1	3	3	3	1	1	5	
1882	comment	Shall will in others seem right gracious,											
1883	syllables	And in my will no fair acceptance shine?	And	in	my	will	no	fair	ac	cep	tance	shine?	
1883	stress	And in my will no fair acceptance shine?	1	1	4	3	1	3	1	4	1	3	
1883	juncture	And in my will no fair acceptance shine?	2	2	2	4	2	3	1	1	4	5	
1883	comment	And in my will no fair acceptance shine?	contrast										
1884	syllables	The sea, all water, yet receives rain still,	The	sea,	all	wa	ter,	yet	re	ceives	rain	still,	
1884	stress	The sea, all water, yet receives rain still,	1	4	1	4	1	1	1	3	3	4	
1884	juncture	The sea, all water, yet receives rain still,	2	5	2	1	5	2	1	3	4	5	
1884	comment	The sea, all water, yet receives rain still,											
1885	syllables	And in abundance addeth to his store;	And	in	a	bun	dance	ad	deth	to	his	store;	
1885	stress	And in abundance addeth to his store;	1	1	1	4	1	3	1	1	1	4	
1885	juncture	And in abundance addeth to his store;	2	2	1	1	4	1	3	2	2	5	
1885	comment	And in abundance addeth to his store;											
1886	syllables	So thou, being rich in 'Will,' add to thy 'Will'	So	thou,	be ing	rich	in	'Will',	add	to	thy	'Will'	
1886	stress	So thou, being rich in 'Will,' add to thy 'Will'	1	4	1	3	1	4	3	1	1	4	
1886	juncture	So thou, being rich in 'Will,' add to thy 'Will'	2	5	2	3	2	5	3	2	2	4	
1886	comment	So thou, being rich in 'Will,' add to thy 'Will'											
1887	syllables	One will of mine, to make thy large will more.	One	will	of	mine,	to	make	thy	large	will	more.	
1887	stress	One will of mine, to make thy large will more.	1	3	1	4	1	3	1	3	3	4	
1887	juncture	One will of mine, to make thy large will more.	2	3	2	4	2	3	2	3	4	5	
1887	comment	One will of mine, to make thy large will more.											
1888	syllables	Let no unkind 'No' fair beseechers kill;	Let	no	un	kind	'No'	fair	be	see	chers	kill;	
1888	stress	Let no unkind 'No' fair beseechers kill;	3	1	1	3	4	3	1	3	1	4	
1888	juncture	Let no unkind 'No' fair beseechers kill;	3	2	1	3	4	3	1	1	4	5	
1888	comment	Let no unkind 'No' fair beseechers kill;	Tricky - does the RR apply here?  I'm assuming no.										
1889	syllables	Think all but one, and me in that one 'Will.'	Think	all	but	one,	and	me	in	that	one	'Will'.	
1889	stress	Think all but one, and me in that one 'Will.'	3	3	1	4	1	2	1	1	1	4	
1889	juncture	Think all but one, and me in that one 'Will.'	3	2	2	5	2	4	2	2	2	5	
1889	comment	Think all but one, and me in that one 'Will.'											
1890	syllables	If thy soul check thee that I come so near,	If	thy	soul	check	thee	that	I	come	so	near,	
1890	stress	If thy soul check thee that I come so near,	1	1	3	4	1	1	1	3	1	4	
1890	juncture	If thy soul check thee that I come so near,	2	2	4	2	2	3	2	3	2	5	
1890	comment	If thy soul check thee that I come so near,	poem initial										
1891	syllables	Swear to thy blind soul that I was thy 'Will',	Swear	to	thy	blind	soul	that	I	was	thy	'Will',	
1891	stress	Swear to thy blind soul that I was thy 'Will',	3	1	1	3	4	1	1	1	1	4	
1891	juncture	Swear to thy blind soul that I was thy 'Will',	3	2	2	3	4	2	2	2	2	5	
1891	comment	Swear to thy blind soul that I was thy 'Will',											
1892	syllables	And will, thy soul knows, is admitted there;	And	will,	thy	soul	knows,	is	ad	mit	ted	there;	
1892	stress	And will, thy soul knows, is admitted there;	1	4	1	3	4	1	1	4	1	1	
1892	juncture	And will, thy soul knows, is admitted there;	2	5	2	4	5	2	1	1	3	5	
1892	comment	And will, thy soul knows, is admitted there;											
1893	syllables	Thus far for love, my love-suit, sweet, fulfil.	Thus	far	for	love,	my	love-	suit,	sweet,	ful	fil.	
1893	stress	Thus far for love, my love-suit, sweet, fulfil.	1	3	1	4	1	4	2	4	1	4	
1893	juncture	Thus far for love, my love-suit, sweet, fulfil.	2	4	2	5	2	2	5	3	1	5	
1893	comment	Thus far for love, my love-suit, sweet, fulfil.											
1894	syllables	'Will', will fulfil the treasure of thy love,	'Will',	will	ful	fil	the	trea	sure	of	thy	love,	
1894	stress	'Will', will fulfil the treasure of thy love,	4	1	1	3	1	3	1	1	1	4	
1894	juncture	'Will', will fulfil the treasure of thy love,	5	2	1	3	2	1	3	2	2	5	
1894	comment	'Will', will fulfil the treasure of thy love,											
1895	syllables	Ay, fill it full with wills, and my will one.	Ay,	fill	it	full	with	wills,	and	my	will	one.	
1895	stress	Ay, fill it full with wills, and my will one.	4	3	1	3	1	4	1	1	3	4	
1895	juncture	Ay, fill it full with wills, and my will one.	2	2	2	4	2	5	2	2	4	5	
1895	comment	Ay, fill it full with wills, and my will one.											
1896	syllables	In things of great receipt with ease we prove	In	things	of	great	re	ceipt	with	ease	we	prove	
1896	stress	In things of great receipt with ease we prove	1	3	1	3	1	4	1	3	1	4	
1896	juncture	In things of great receipt with ease we prove	2	3	2	3	1	4	2	4	2	3	
1896	comment	In things of great receipt with ease we prove											
1897	syllables	Among a number one is reckon'd none:	A	mong	a	num	ber	one	is	rec	kon'd	none:	
1897	stress	Among a number one is reckon'd none:	1	2	1	3	1	3	1	3	1	4	
1897	juncture	Among a number one is reckon'd none:	1	2	2	1	4	4	2	1	3	5	
1897	comment	Among a number one is reckon'd none:											
1898	syllables	Then in the number let me pass untold,	Then	in	the	num	ber	let	me	pass	un	told,	
1898	stress	Then in the number let me pass untold,	2	1	1	3	1	3	1	3	1	4	
1898	juncture	Then in the number let me pass untold,	2	2	2	1	4	2	3	3	1	5	
1898	comment	Then in the number let me pass untold,											
1899	syllables	Though in thy store's account I one must be;	Though	in	thy	store's	ac	count	I	one	must	be;	
1899	stress	Though in thy store's account I one must be;	1	1	1	3	1	4	1	3	1	4	
